DeltaS, gs_value[GS_RIGHT], gs_value[GS_LEFT],lfm_speed[LEFT],lfm_speed[RIGHT]
4, 842, 838, 198, 201
1, 845, 844, 199, 200
-2, 844, 846, 200, 199
2, 844, 842, 199, 200
-2, 842, 844, 200, 199
0, 844, 844, 200, 200
0, 843, 843, 200, 200
0, 844, 844, 200, 200
-2, 753, 755, 200, 199
1, 757, 756, 199, 200
-5, 755, 760, 202, 198
0, 754, 754, 200, 200
-1, 756, 757, 200, 199
1, 757, 756, 199, 200
-7, 751, 758, 202, 197
3, 757, 754, 198, 201
4, 757, 753, 198, 201
3, 756, 753, 198, 201
-3, 752, 755, 201, 198
2, 754, 752, 199, 200
4, 757, 753, 198, 201
7, 759, 752, 197, 202
-1, 755, 756, 200, 199
-1, 755, 756, 200, 199
-5, 754, 759, 202, 198
0, 754, 754, 200, 200
-5, 756, 761, 202, 198
0, 755, 755, 200, 200
6, 758, 752, 197, 202
1, 757, 756, 199, 200
-3, 753, 756, 201, 198
-2, 757, 759, 200, 199
-3, 753, 756, 201, 198
0, 760, 760, 200, 200
3, 761, 758, 198, 201
6, 761, 755, 197, 202
6, 762, 756, 197, 202
3, 758, 755, 198, 201
1, 760, 759, 199, 200
0, 757, 757, 200, 200
-1, 759, 760, 200, 199
-2, 756, 758, 200, 199
-7, 754, 761, 202, 197
2, 758, 756, 199, 200
-2, 754, 756, 200, 199
-2, 758, 760, 200, 199
4, 758, 754, 198, 201
-4, 754, 758, 201, 198
2, 758, 756, 199, 200
3, 756, 753, 198, 201
-2, 756, 758, 200, 199
-3, 753, 756, 201, 198
-4, 755, 759, 201, 198
-1, 758, 759, 200, 199
-1, 758, 759, 200, 199
1, 757, 756, 199, 200
-1, 757, 758, 200, 199
7, 761, 754, 197, 202
-1, 756, 757, 200, 199
-3, 756, 759, 201, 198
-1, 757, 758, 200, 199
2, 760, 758, 199, 200
0, 760, 760, 200, 200
2, 758, 756, 199, 200
7, 762, 755, 197, 202
2, 760, 758, 199, 200
-4, 757, 761, 201, 198
3, 760, 757, 198, 201
-7, 756, 763, 202, 197
